年份,生源地,科类,批次,院校名称,专业名称,专业备注,最低分,最低位次,最高分,平均分
2023,上海,综合,专科批,上海科创职业技术学院,计算机类,工业互联网技术（办学点：松江区人民北路925号）,224,3280.0,0,230
2023,上海,综合,专科批,上海中侨职业技术大学,工商管理类,工商企业管理,224,3280.0,0,224
2023,上海,综合,专科批,上海科学技术职业学院,财务会计类,大数据与会计,224,3280.0,0,235
2023,上海,综合,专科批,南京信息职业技术学院,计算机类,虚拟现实技术应用,224,3280.0,0,227
2023,上海,综合,专科批,上海出版印刷高等专科学校,财务会计类,大数据与会计,224,3280.0,0,237
2023,上海,综合,专科批,上海科创职业技术学院,机械设计制造类,数控技术（办学点：松江区人民北路925号）,224,3280.0,0,232
2023,上海,综合,专科批,南京信息职业技术学院,电子商务类,商务数据分析与应用,225,3229.0,0,227
2023,上海,综合,专科批,上海建桥学院,护理类,护理,225,3229.0,0,237
2023,上海,综合,专科批,上海建桥学院,经济贸易类,国际商务,226,3169.0,0,234
2023,上海,综合,专科批,安徽医学高等专科学校,公共卫生与卫生管理类,卫生信息管理,226,3169.0,0,227
2023,上海,综合,专科批,上海科学技术职业学院,公共事业类,社会工作,226,3169.0,0,237
2023,上海,综合,专科批,上海建桥学院,计算机类,计算机应用技术（双语班。入学后专业教学外语语种为日语。中日学分互认，毕业生可赴日攻读日本京都情报大学院大学硕士研究生。具体专业介绍详见学校招生简章备注）,226,3169.0,0,237
2023,上海,综合,专科批,上海建桥学院,自动化类,机电一体化技术,226,3169.0,0,228
2023,上海,综合,专科批,苏州百年职业学院,计算机类,人工智能技术应用（中外合作办学）（中外合作办学）,226,3169.0,0,230
2023,上海,综合,专科批,上海思博职业技术学院,经济贸易类,"国际商务（高本贯通。入校三年后,通过转段考试进入上海立信会计金融学院国际商务专业本科段学习）",227,3106.0,0,238
2023,上海,综合,专科批,上海建桥学院,物流类,现代物流管理,227,3106.0,0,233
2023,上海,综合,专科批,上海建桥学院,语言类,商务英语,228,3043.0,0,241
2023,上海,综合,专科批,上海出版印刷高等专科学校,印刷类,印刷媒体技术,228,3043.0,0,237
2023,上海,综合,专科批,上海杉达学院,物流类,现代物流管理（国际多式联运方向）,229,2979.0,0,233
2023,上海,综合,专科批,南京信息职业技术学院,集成电路类,集成电路技术,229,2979.0,0,229
2023,上海,综合,专科批,上海科学技术职业学院,通信类,现代通信技术,229,2979.0,0,235
2023,上海,综合,专科批,上海建桥学院,工商管理类,工商企业管理,229,2979.0,0,232
2023,上海,综合,专科批,上海杉达学院,自动化类,机电一体化技术,229,2979.0,0,238
2023,上海,综合,专科批,上海交通职业技术学院,道路运输类,交通运营管理（浦东校区）,230,2904.0,0,234
2023,上海,综合,专科批,上海农林职业技术学院,广播影视类,融媒体技术与运营,230,2904.0,0,237
2023,上海,综合,专科批,上海交通职业技术学院,市政工程类,市政工程技术（徐汇校区）,230,2904.0,0,235
2023,上海,综合,专科批,上海交通职业技术学院,计算机类,大数据技术（浦东校区）,230,2904.0,0,235
2023,上海,综合,专科批,上海交通职业技术学院,水上运输类,港口机械与智能控制（浦东校区）,230,2904.0,0,240
2023,上海,综合,专科批,上海交通职业技术学院,财务会计类,大数据与会计（浦东校区）,230,2904.0,0,237
2023,上海,综合,专科批,上海交通职业技术学院,汽车制造类,新能源汽车技术（宝山校区）,230,2904.0,0,235
2023,上海,综合,专科批,上海交通职业技术学院,经济贸易类,国际商务（浦东校区）,230,2904.0,0,237
2023,上海,综合,专科批,上海中侨职业技术大学,金融类,金融服务与管理,230,2904.0,0,230
2023,上海,综合,专科批,南京信息职业技术学院,电子信息类,智能光电技术应用,231,2831.0,0,232
2023,上海,综合,专科批,上海科学技术职业学院,计算机类,人工智能技术应用,231,2831.0,0,235
2023,上海,综合,专科批,上海行健职业学院,广播影视类,影视多媒体技术,232,2757.0,0,240
2023,上海,综合,专科批,天津医学高等专科学校,护理类,护理（社区护理方向）,232,2757.0,0,232
2023,上海,综合,专科批,上海农林职业技术学院,建筑设计类,风景园林设计（无色盲、色弱）,232,2757.0,0,238
2023,上海,综合,专科批,安徽医学高等专科学校,临床医学类,临床医学（无色盲、色弱）,232,2757.0,0,236
2023,上海,综合,专科批,南京铁道职业技术学院,城市轨道交通类,城市轨道交通供配电技术,232,2757.0,0,234
2023,上海,综合,专科批,南京铁道职业技术学院,轨道装备类,城市轨道交通车辆制造与维护,233,2665.0,0,235
2023,上海,综合,专科批,上海科创职业技术学院,自动化类,工业机器人技术（办学点：松江区人民北路925号）,233,2665.0,0,239
2023,上海,综合,专科批,上海农林职业技术学院,生物技术类,农业生物技术（无色盲、色弱）,233,2665.0,0,236
2023,上海,综合,专科批,天津公安警官职业学院,安全防范类,安全保卫管理,233,2665.0,0,233
2023,上海,综合,专科批,上海农林职业技术学院,农业类,园艺技术（无色盲、色弱）,233,2665.0,0,238
2023,上海,综合,专科批,天津公安警官职业学院,计算机类,信息安全技术应用,234,2581.0,0,237
2023,上海,综合,专科批,安徽医学高等专科学校,医学技术类,医学检验技术（无色盲、色弱）,234,2581.0,0,236
2023,上海,综合,专科批,上海东海职业技术学院,道路运输类,汽车检测与维修技术（高本贯通。三年后通过入学转段考试转入上海建桥学院汽车服务工程专业）,235,2504.0,0,240
2023,上海,综合,专科批,成都航空职业技术学院,航空装备类,航空发动机维修技术,235,2504.0,0,243
